https://github.com/pingcap/tidb-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: satisfied 
https://github.com/camilb/prometheus-kubernetes.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/VirtusLab/jenkins-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/mongodb/mongodb-enterprise-kubernetes.git, crd_registered_in_helm_chart: satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: satisfied 
https://github.com/spotahome/kooper.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/sapcc/kubernetes-operators.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/operator-framework/helm-app-operator-kit.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/openfaas-incubator/openfaas-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: not satisfied 
https://github.com/lwolf/kube-cleanup-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/arangodb/kube-arangodb.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/giantswarm/operatorkit.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/kudobuilder/kudo.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: not satisfied 
https://github.com/spotahome/redis-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/habitat-sh/habitat-operator.git, crd_registered_in_helm_chart: satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/pravega/zookeeper-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/nats-io/nats-operator.git, crd_registered_in_helm_chart: satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/ianlewis/memcached-operator.git, crd_registered_in_helm_chart: satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/coreos/container-linux-update-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/coreos/terraform-aws-kubernetes.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/giantswarm/aws-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/AmadeusITGroup/Redis-Operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/admiraltyio/multicluster-controller.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/operator-framework/operator-manifests.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: not satisfied 
https://github.com/jw-s/redis-operator.git, crd_registered_in_helm_chart: satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/reactiveops/rbac-manager.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: not satisfied 
https://github.com/percona/percona-xtradb-cluster-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/kubeflow/mxnet-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: not satisfied 
https://github.com/banzaicloud/logging-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: not satisfied 
https://github.com/aliyx/tidb-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/kbst/mongodb.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/operator-framework/operator-registry.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: not satisfied 
https://github.com/Dynatrace/dynatrace-oneagent-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/radanalyticsio/spark-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
